# CIK<->symbol point-in-time intervals. GENERATED by scripts/build_cik_map.py
# Sources + validation: see src/trading/venues/universes/sources/PROVENANCE.md.
# start inclusive, end exclusive, empty end = current EDGAR ticker.
symbol,cik,start,end
A,1090872,2017-01-01,
AA,1675149,2017-01-01,
AAL,6201,2017-01-01,
AAON,824142,2017-01-01,
AAP,1158449,2017-01-01,
AAPL,320193,2017-01-01,
ABBV,1551152,2017-01-01,
ABC,1140859,2017-01-01,2023-08-30
ABNB,1559720,2017-01-01,
ABT,1800,2017-01-01,
ACGL,947484,2017-01-01,
ACHC,1520697,2017-01-01,
ACI,1646972,2017-01-01,
ACIW,935036,2017-01-01,
ACM,868857,2017-01-01,
ACN,1467373,2017-01-01,
ADBE,796343,2017-01-01,
ADC,917251,2017-01-01,
ADI,6281,2017-01-01,
ADM,7084,2017-01-01,
ADNT,1670541,2017-01-01,
ADP,8670,2017-01-01,
ADSK,769397,2017-01-01,
AEE,1002910,2017-01-01,
AEIS,927003,2017-01-01,
AEO,919012,2017-01-01,
AEP,4904,2017-01-01,
AES,874761,2017-01-01,
AFG,1042046,2017-01-01,
AFL,4977,2017-01-01,
AGCO,880266,2017-01-01,
AHR,1632970,2017-01-01,
AIG,5272,2017-01-01,
AIT,109563,2017-01-01,
AIV,922864,2017-01-01,
AIZ,1267238,2017-01-01,
AJG,354190,2017-01-01,
AKAM,1086222,2017-01-01,
ALAB,1736297,2017-01-01,
ALB,915913,2017-01-01,
ALGM,866291,2017-01-01,
ALGN,1097149,2017-01-01,
ALK,766421,2017-01-01,
ALL,899051,2017-01-01,
ALLE,1579241,2017-01-01,
ALLY,40729,2017-01-01,
ALNY,1178670,2017-01-01,
ALSN,1411207,2017-01-01,
ALV,1034670,2017-01-01,
AM,1623925,2017-01-01,
AMAT,6951,2017-01-01,
AMCR,1748790,2017-01-01,
AMCX,1514991,2017-01-01,
AMD,2488,2017-01-01,
AME,1037868,2017-01-01,
AMG,1004434,2017-01-01,
AMGN,318154,2017-01-01,
AMH,1562401,2017-01-01,
AMKR,1047127,2017-01-01,
AMP,820027,2017-01-01,
AMT,1053507,2017-01-01,
AMTM,2011286,2017-01-01,
AMZN,1018724,2017-01-01,
AN,350698,2017-01-01,
ANET,1596532,2017-01-01,
ANF,1018840,2017-01-01,
ANTM,1156039,2017-01-01,2022-06-28
AON,315293,2017-01-01,
AOS,91142,2017-01-01,
APA,1841666,2017-01-01,
APD,2969,2017-01-01,
APG,1796209,2017-01-01,
APH,820313,2017-01-01,
APO,1858681,2017-01-01,
APP,1751008,2017-01-01,
APPF,1433195,2017-01-01,
APPS,317788,2017-01-01,
APTV,1521332,2017-01-01,
AR,1433270,2017-01-01,
ARE,1035443,2017-01-01,
ARES,1176948,2017-01-01,
ARM,1973239,2017-01-01,
ARMK,1584509,2017-01-01,
ARW,7536,2017-01-01,
ARWR,879407,2017-01-01,
ASB,7789,2017-01-01,
ASH,1674862,2017-01-01,
ASML,937966,2017-01-01,
ATI,1018963,2017-01-01,
ATO,731802,2017-01-01,
ATR,896622,2017-01-01,
AVAV,1368622,2017-01-01,
AVB,915912,2017-01-01,
AVGO,1730168,2017-01-01,
AVNS,1606498,2017-01-01,
AVNT,1122976,2017-01-01,
AVT,8858,2017-01-01,
AVTR,1722482,2017-01-01,
AVY,8818,2017-01-01,
AWK,1410636,2017-01-01,
AXON,1069183,2017-01-01,
AXP,4962,2017-01-01,
AXTA,1616862,2017-01-01,
AYI,1144215,2017-01-01,
AZN,901832,2017-01-01,
AZO,866787,2017-01-01,
AZTA,933974,2017-01-01,
BA,12927,2017-01-01,
BAC,70858,2017-01-01,
BAH,1443646,2017-01-01,
BALL,9389,2017-01-01,
BAX,10456,2017-01-01,
BBBY,1130713,2017-01-01,
BBT,1108134,2017-01-01,
BBWI,701985,2017-01-01,
BBY,764478,2017-01-01,
BC,14930,2017-01-01,
BCO,78890,2017-01-01,
BDC,913142,2017-01-01,
BDX,10795,2017-01-01,
BEN,38777,2017-01-01,
BF-B,14693,2017-01-01,
BFH,1101215,2017-01-01,
BG,1996862,2017-01-01,
BHF,1685040,2017-01-01,
BIDU,1329099,2017-01-01,
BIIB,875045,2017-01-01,
BILL,1786352,2017-01-01,
BIO,12208,2017-01-01,
BJ,1531152,2017-01-01,
BKH,1130464,2017-01-01,
BKNG,1075531,2017-01-01,
BKR,1701605,2017-01-01,
BLD,1633931,2017-01-01,
BLDR,1316835,2017-01-01,
BLK,2012383,2017-01-01,
BLKB,1280058,2017-01-01,
BMRN,1048477,2017-01-01,
BMY,14272,2017-01-01,
BNY,1390777,2017-01-01,
BOH,46195,2017-01-01,
BR,1383312,2017-01-01,
BRBR,1772016,2017-01-01,
BRK-B,1067983,2017-01-01,
BRKR,1109354,2017-01-01,
BRO,79282,2017-01-01,
BROS,1866581,2017-01-01,
BRX,1581068,2017-01-01,
BSX,885725,2017-01-01,
BSY,1031308,2017-01-01,
BURL,1579298,2017-01-01,
BWA,908255,2017-01-01,
BWXT,1486957,2017-01-01,
BX,1393818,2017-01-01,
BXP,1037540,2017-01-01,
BYD,906553,2017-01-01,
C,831001,2017-01-01,
CABO,1632127,2017-01-01,
CACI,16058,2017-01-01,
CAG,23217,2017-01-01,
CAH,721371,2017-01-01,
CAKE,887596,2017-01-01,
CALX,1406666,2017-01-01,
CAR,723612,2017-01-01,
CARR,1783180,2017-01-01,
CARS,1683606,2017-01-01,
CART,1579091,2017-01-01,
CASY,726958,2017-01-01,
CAT,18230,2017-01-01,
CATY,861842,2017-01-01,
CAVA,1639438,2017-01-01,
CB,896159,2017-01-01,
CBOE,1374310,2017-01-01,
CBRE,1138118,2017-01-01,
CBRL,1067294,2017-01-01,
CBSH,22356,2017-01-01,
CBT,16040,2017-01-01,
CC,1627223,2017-01-01,
CCEP,1650107,2017-01-01,
CCI,1051470,2017-01-01,
CCK,1219601,2017-01-01,
CCL,815097,2017-01-01,
CDE,215466,2017-01-01,
CDNS,813672,2017-01-01,
CDP,860546,2017-01-01,
CDW,1402057,2017-01-01,
CE,1306830,2017-01-01,
CEG,1868275,2017-01-01,
CELH,1341766,2017-01-01,
CF,1324404,2017-01-01,
CFG,759944,2017-01-01,
CFR,39263,2017-01-01,
CG,1527166,2017-01-01,
CGNX,851205,2017-01-01,
CHD,313927,2017-01-01,
CHDN,20212,2017-01-01,
CHE,19584,2017-01-01,
CHH,1046311,2017-01-01,
CHKP,1015922,2017-01-01,
CHRD,1486159,2017-01-01,
CHRW,1043277,2017-01-01,
CHTR,1091667,2017-01-01,
CHWY,1766502,2017-01-01,
CI,1739940,2017-01-01,
CIEN,936395,2017-01-01,
CINF,20286,2017-01-01,
CL,21665,2017-01-01,
CLB,1958086,2017-01-01,
CLF,764065,2017-01-01,
CLH,822818,2017-01-01,
CLX,21076,2017-01-01,
CMC,22444,2017-01-01,
CMCSA,1166691,2017-01-01,
CME,1156375,2017-01-01,
CMG,1058090,2017-01-01,
CMI,26172,2017-01-01,
CMP,1227654,2017-01-01,
CMS,811156,2017-01-01,
CNC,1071739,2017-01-01,
CNH,1567094,2017-01-01,
CNK,1385280,2017-01-01,
CNM,1856525,2017-01-01,
CNO,1224608,2017-01-01,
CNP,1130310,2017-01-01,
CNX,1070412,2017-01-01,
CNXC,1803599,2017-01-01,
COF,927628,2017-01-01,
COHR,820318,2017-01-01,
COIN,1679788,2017-01-01,
COKE,317540,2017-01-01,
COLB,887343,2017-01-01,
COLM,1050797,2017-01-01,
COO,711404,2017-01-01,
COP,1163165,2017-01-01,
COR,1140859,2023-08-30,
COST,909832,2017-01-01,
COTY,1024305,2017-01-01,
CPAY,1175454,2017-01-01,
CPB,16732,2017-01-01,
CPRI,1530721,2017-01-01,
CPRT,900075,2017-01-01,
CPT,906345,2017-01-01,
CR,1944013,2017-01-01,
CRBG,1889539,2017-01-01,
CRH,849395,2017-01-01,
CRI,1060822,2017-01-01,
CRL,1100682,2017-01-01,
CRM,1108524,2017-01-01,
