# Historical (delisted/acquired) symbol->CIK intervals resolved from SEC
# FSDS sub.txt instance prefixes. GENERATED by
# scripts/build_cik_map_historical.py; build_cik_map.py re-merges these on
# every regeneration. Sources + verification: see
# src/trading/venues/universes/sources/PROVENANCE.md. The name column is
# review evidence (the filer's FSDS registered name), not consumed by code.
symbol,cik,start,end,name
ABMD,815094,2017-01-01,2022-12-22,"ABIOMED INC"
ADS,1101215,2017-01-01,2020-06-22,"ALLIANCE DATA SYSTEMS CORP"
AGN,1578845,2017-01-01,2020-05-12,"ALLERGAN PLC"
AHL,1267395,2017-01-01,2019-02-21,"ASPEN INSURANCE HOLDINGS LTD"
AIRC,1820877,2017-01-01,2024-06-28,"APARTMENT INCOME REIT CORP."
ALE,66756,2017-01-01,2025-12-17,"ALLETE INC"
ALEX,1545654,2017-01-01,2020-02-07,"ALEXANDER & BALDWIN, INC."
ALXN,899866,2017-01-01,2021-07-21,"ALEXION PHARMACEUTICALS, INC."
AMED,896262,2017-01-01,2025-08-19,"AMEDISYS INC"
ANSS,1013462,2017-01-01,2025-07-18,"ANSYS INC"
ARNC,4281,2017-01-01,2020-04-06,"HOWMET AEROSPACE INC."
ASGN,890564,2017-01-01,2026-03-23,"ASGN INC"
ATGE,730464,2017-01-01,2021-07-07,"ADTALEM GLOBAL EDUCATION INC."
ATVI,718877,2017-01-01,2023-10-18,"ACTIVISION BLIZZARD, INC."
BK,1390777,2017-01-01,2026-05-21,"BANK OF NEW YORK MELLON CORP"
BLL,9389,2017-01-01,2022-05-10,"BALL CORP"
BMS,11199,2017-01-01,2019-06-07,"BEMIS CO INC"
CADE,1614184,2017-01-01,2026-02-02,"CADENCE BANCORPORATION"
CCMP,1102934,2017-01-01,2022-07-07,"CMC MATERIALS, INC."
CDAY,1725057,2017-01-01,2024-02-01,"CERIDIAN HCM HOLDING INC."
CDK,1609702,2017-01-01,2022-07-06,"CDK GLOBAL, INC."
CELG,816284,2017-01-01,2019-11-21,"CELGENE CORP /DE/"
CERN,804753,2017-01-01,2022-06-08,"CERNER CORP"
