# Robinhood-listed, excluded: no Kraken USD market as of 2026-07-04: GRAM, ZORA
symbol,status
AAVE,tradable
ADA,tradable
AERO,tradable
ALGO,tradable
ARB,tradable
ASTER,tradable
ATOM,tradable
AVAX,tradable
AVNT,tradable
AXS,tradable
BAT,tradable
BCH,tradable
BIO,tradable
BNB,tradable
BONK,tradable
BTC,tradable
CC,tradable
CHIP,tradable
COMP,tradable
CRV,tradable
DOGE,tradable
DOT,tradable
EIGEN,tradable
ENA,tradable
ETC,tradable
ETH,tradable
FLOKI,tradable
FLR,tradable
GRT,tradable
HBAR,tradable
HYPE,tradable
IMX,tradable
JTO,tradable
LDO,tradable
LINK,tradable
LIT,tradable
LTC,tradable
MEGA,tradable
MEW,tradable
MNT,tradable
MOODENG,tradable
NEAR,tradable
ONDO,tradable
OP,tradable
ORCA,tradable
PAXG,tradable
PENGU,tradable
PEPE,tradable
PNUT,tradable
POPCAT,tradable
PYTH,tradable
QNT,tradable
RAY,tradable
RE,tradable
RENDER,tradable
SEI,tradable
SHIB,tradable
SKR,tradable
SKY,tradable
SNX,tradable
SOL,tradable
STRK,tradable
SUI,tradable
SYRUP,tradable
TRUMP,tradable
UNI,tradable
USDC,tradable
USDG,tradable
VIRTUAL,tradable
VVV,tradable
WIF,tradable
WLD,tradable
WLFI,tradable
XCN,tradable
XLM,tradable
XPL,tradable
XRP,tradable
XTZ,tradable
ZEC,tradable
ZRO,tradable
ZRX,tradable
