# Point-in-time S&P 500 + NDX + S&P 400 membership. GENERATED by scripts/build_pit_membership.py
# Sources + licences: see sources/PROVENANCE.md. start inclusive, end exclusive, empty end = current.
symbol,index,start,end
A,sp500,2017-01-01,
AA,sp400,2021-12-20,
AABA,sp500,2017-01-01,2017-06-19
AAL,ndx,2017-01-01,2020-04-20
AAL,sp400,2024-09-23,
AAL,sp500,2017-01-01,2024-09-23
AAON,sp400,2024-05-03,
AAP,sp500,2017-01-01,2023-08-25
AAPL,ndx,2017-01-01,
AAPL,sp500,2017-01-01,
ABBV,sp500,2017-01-01,
ABC,sp500,2017-01-01,2023-08-30
ABMD,sp500,2018-05-31,2022-12-22
ABNB,ndx,2021-12-20,
ABNB,sp500,2023-09-18,
ABT,sp500,2017-01-01,
ACC,sp400,2019-01-01,2022-08-10
ACGL,sp500,2022-11-01,
ACHC,sp400,2019-01-01,2025-09-22
ACI,sp400,2025-03-11,
ACIW,sp400,2019-01-01,2023-11-13
ACM,sp400,2019-01-01,
ACN,sp500,2017-01-01,
ADBE,ndx,2017-01-01,
ADBE,sp500,2017-01-01,
ADC,sp400,2023-02-06,
ADI,ndx,2017-01-01,
ADI,sp500,2017-01-01,
ADM,sp500,2017-01-01,
ADNT,sp400,2019-01-01,2024-09-23
ADP,ndx,2017-01-01,
ADP,sp500,2017-01-01,
ADS,sp500,2017-01-01,2020-06-22
ADSK,ndx,2017-01-01,
ADSK,sp500,2017-01-01,
AEE,sp500,2017-01-01,
AEIS,sp400,2026-02-02,
AEO,sp400,2019-01-01,2022-09-19
AEP,ndx,2020-12-21,
AEP,sp500,2017-01-01,
AES,sp500,2017-01-01,
AET,sp500,2017-01-01,2018-11-29
AFG,sp400,2019-01-01,
AFL,sp500,2017-01-01,
AGCO,sp400,2019-01-01,
AGN,sp500,2017-01-01,2020-05-12
AHL,sp400,2019-01-01,2019-02-21
AHR,sp400,2026-02-02,
AIG,sp500,2017-01-01,
AIRC,sp400,2020-12-21,2024-06-28
AIT,sp400,2024-03-18,
AIV,sp500,2017-01-01,2020-12-21
AIZ,sp500,2017-01-01,
AJG,sp500,2017-01-01,
AKAM,ndx,2017-01-01,2017-12-18
AKAM,sp500,2017-01-01,
ALAB,ndx,2026-06-22,
ALB,sp500,2017-01-01,
ALE,sp400,2019-01-01,2025-12-17
ALEX,sp400,2019-01-01,2020-02-07
ALGM,sp400,2022-12-19,
ALGN,ndx,2017-10-23,2023-12-18
ALGN,sp500,2017-06-19,
ALK,sp400,2025-03-24,
ALK,sp500,2017-01-01,2023-10-18
ALL,sp500,2017-01-01,
ALLE,sp500,2017-01-01,
ALLY,sp400,2023-09-18,
ALNY,ndx,2025-12-22,
ALSN,sp400,2026-07-06,
ALTM,sp400,2024-01-02,2025-03-06
ALTR,sp400,2024-06-24,2025-03-31
ALV,sp400,2023-03-20,
ALXN,ndx,2017-01-01,2021-07-21
ALXN,sp500,2017-01-01,2021-07-21
AM,sp400,2019-09-23,
AMAT,ndx,2017-01-01,
AMAT,sp500,2017-01-01,
AMCR,sp500,2019-06-07,
AMCX,sp400,2019-01-01,2020-12-02
AMD,ndx,2018-12-24,
AMD,sp500,2017-03-20,
AME,sp500,2017-01-01,
AMED,sp400,2019-02-21,2025-08-19
AMG,sp400,2019-12-13,
AMG,sp500,2017-01-01,2019-12-23
AMGN,ndx,2017-01-01,
AMGN,sp500,2017-01-01,
AMH,sp400,2024-03-01,
AMKR,sp400,2021-02-16,
AMP,sp500,2017-01-01,
AMT,sp500,2017-01-01,
AMTM,sp500,2024-09-30,2024-12-23
AMZN,ndx,2017-01-01,
AMZN,sp500,2017-01-01,
AN,sp400,2019-01-01,
AN,sp500,2017-01-01,2017-08-08
ANDV,sp500,2017-01-01,2018-10-01
ANET,sp500,2018-08-28,
ANF,sp400,2024-07-22,
ANSS,ndx,2019-12-23,2025-07-17
ANSS,sp500,2017-06-19,2025-07-18
ANTM,sp500,2017-01-01,2022-06-28
AON,sp500,2017-01-01,
AOS,sp500,2017-07-26,
APA,sp500,2017-01-01,
APC,sp500,2017-01-01,2019-08-09
APD,sp500,2017-01-01,
APG,sp400,2025-06-24,
APH,sp500,2017-01-01,
APO,sp500,2024-12-23,
APP,ndx,2024-11-18,
APP,sp500,2025-09-22,
APPF,sp400,2024-04-01,
APPS,sp400,2021-09-07,2022-06-29
APTV,sp500,2017-01-01,
AR,sp400,2022-10-20,
ARE,sp500,2017-03-20,
ARES,sp500,2025-12-11,
ARM,ndx,2024-06-24,
ARMK,sp400,2023-03-20,
ARNC,sp500,2017-01-01,2020-04-06
ARW,sp400,2019-01-01,
ARWR,sp400,2019-12-13,2025-01-27
ARWR,sp400,2026-02-09,
ASB,sp400,2019-01-01,
ASGN,sp400,2019-01-01,2026-03-23
ASH,sp400,2019-01-01,
ASML,ndx,2017-12-18,
ATGE,sp400,2019-01-01,2021-07-07
ATI,sp400,2019-01-01,2020-09-21
ATI,sp400,2025-03-24,
ATO,sp500,2019-02-15,
ATR,sp400,2019-01-01,
ATVI,ndx,2017-01-01,2023-07-17
ATVI,sp500,2017-01-01,2023-10-18
AVAV,sp400,2025-07-18,
AVB,sp500,2017-01-01,
AVGO,ndx,2017-01-01,
AVGO,sp500,2017-01-01,
AVNS,sp400,2019-01-01,2021-05-17
AVNT,sp400,2019-01-01,
AVT,sp400,2019-01-01,
AVTR,sp400,2024-07-26,
AVY,sp500,2017-01-01,
AWK,sp500,2017-01-01,
AXON,ndx,2024-12-23,
AXON,sp400,2019-01-01,2023-05-04
AXON,sp500,2023-05-04,
AXP,sp500,2017-01-01,
AXTA,sp400,2023-03-20,
AYI,sp400,2019-01-01,
AYI,sp500,2017-01-01,2018-06-18
AZN,ndx,2022-02-22,2026-01-20
AZO,sp500,2017-01-01,
AZPN,sp400,2021-05-17,2025-03-11
AZTA,sp400,2019-01-01,2024-11-25
BA,sp500,2017-01-01,
BAC,sp500,2017-01-01,
BAH,sp400,2025-12-22,
BALL,sp500,2022-05-10,
BAX,sp500,2017-01-01,
BBBY,sp400,2019-01-01,2020-06-22
BBBY,sp500,2017-01-01,2017-07-26
BBT,sp500,2017-01-01,2019-12-09
